Package Name,Tests in Package,Price
"STARHEALTH Package 14 (Package 14)","ALBUMIN / CREATININE RATIO, AMYLASE, HCV Antibody - Qualiative, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, Complete Urinogram, CREATININE, ECG, URINARY ELECTROLYTES (Na,K & Cl), FIBRINOGEN, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), HIGH SENSITIVE CRP (HSCRP), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, 2D ECHO, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM,  Vitamin D3, X Ray Chest PA View",3300
"STARHEALTH Package 15 (Package 15)","ALBUMIN / CREATININE RATIO, AMYLASE, HCV Antibody - Qualiative, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, Complete Urinogram, CREATININE, ECG, URINARY ELECTROLYTES (Na,K & Cl), FIBRINOGEN, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), HIGH SENSITIVE CRP (HSCRP), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, 2D ECHO, PFT, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM,  Vitamin D3, X Ray Chest PA View",3500
"Package 13 (PACKAGE 13)","ALBUMIN / CREATININE RATIO, AMYLASE, HCV Antibody - Qualiative, BLOOD GLUCOSE FASTING, BLOOD UREA NITROGEN (BUN), CALCIUM, HAEMOGRAM (CBC+ESR), URINE EXAMINATION ROUTINE, Complete Urinogram, CREATININE, ECG, URINARY ELECTROLYTES (Na,K & Cl), FIBRINOGEN, THYROID PROFILE FREE, HBA1C, HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs), HIGH SENSITIVE CRP (HSCRP), LIPASE, LIPID PROFILE , LIVER FUNCTION TEST (LFT), PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, Ultrasound Whole Abdomen, MICROALBUMIN - 24hrs Urine, URIC ACID -  SERUM,  Vitamin D3, X Ray Chest PA View",10465
"STARHEALTH Package 16-Male (Package 16-Male)","SGPT/ALT (ALANINE AMINO-TRANSFERASE), SGOT/AST (ASPARTATE AMINO-TRANSFERASE), BLOOD GLUCOSE FASTING, CALCIUM, HAEMOGRAM (CBC+ESR), CHOLESTEROL - HDL, CHOLESTEROL-LDL, URINE EXAMINATION ROUTINE, CREATININE, ECG, BLOOD GLUCOSE PP, HEMOGLOBIN (HB), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE , LIVER FUNCTION TEST (LFT), PFT, PROSTATE SPECIFIC ANTIGEN (FREE) PSA, THYROID STIMULATING HORMONE (TSH), 2D ECHO, Ultrasound Whole Abdomen, VITAMIN B12,  Vitamin D3, X Ray Chest PA View",3400
"SDL 1.1 (SDL 1.1)","COMPLETE BLOOD COUNT (CBC), ERYTHROCYTE SEDIMENTATION RATE (ESR), LIPID PROFILE , Renal Function Test, CALCIUM, LIVER FUNCTION TEST (LFT), THYROID PROFILE",1200
"SDL 1.2 (SDL 1.2)","COMPLETE BLOOD COUNT (CBC), ERYTHROCYTE SEDIMENTATION RATE (ESR), HBA1C, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE, Renal Function Test, CALCIUM",2900
"SDL 1.3 (SDL 1.3)","HAEMOGRAM (CBC+ESR), HBA1C, BLOOD GLUCOSE FASTING, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE,  Vitamin D3, VITAMIN B12, Renal Function Test, CALCIUM",4950
"SDL 1.4 (SDL 1.4)","HAEMOGRAM (CBC+ESR), BLOOD GLUCOSE FASTING, HBA1C, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE,  Vitamin D3, VITAMIN B12, CRP QUANTITATIVE, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, Renal Function Test, CALCIUM",6050
"SDL 1.0 (SDL 1.0)","COMPLETE BLOOD COUNT (CBC), ERYTHROCYTE SEDIMENTATION RATE (ESR), BLOOD GLUCOSE FASTING, LIVER FUNCTION TEST (LFT), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE ",1750
"ANC DELIVERY","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE RANDOM, Bleeding Time & Clotting Time, HIV 1 & 2 ANTIBODY - Rapid Screening, HEPATITIS C ANTIBODY (HCV Antibody), HEPATITIS B SURFACE ANTIGEN
(Australian Antigen) - HBsAg, VDRL, BLOOD GROUP (ABO & Rh TYPING)",1600
"ANC NORMAL","COMPLETE BLOOD COUNT (CBC), BLOOD GROUP (ABO & Rh TYPING), BLOOD GLUCOSE RANDOM, HIV 1 & 2 ANTIBODY - Rapid Screening, HEPATITIS C ANTIBODY (HCV Antibody), HEPATITIS B SURFACE ANTIGEN
(Australian Antigen) - HBsAg, VDRL, URINE EXAMINATION ROUTINE",1600
"SAWARIYA BRONZE (BRONZE)","HAEMOGRAM (CBC+ESR), Liver Function Test  with GGT(LFT_GGT), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE , THYROID PROFILE, BLOOD GLUCOSE RANDOM",1599
"FERTILITY PROFILE (FERTILITY 1)","THYROID PROFILE, LH (LEUTINIZING HORMONE), FSH (FOLLICLE STIMULATING HORMONE), PROLACTIN(PRL)",1999
"HORMONES  PROFILE  (FERTILITY 2)","THYROID PROFILE, LH (LEUTINIZING HORMONE), FSH (FOLLICLE STIMULATING HORMONE), PROLACTIN(PRL), TESTOSTERONE TOTAL, ANTI MULLERIAN HORMONE (AMH)",3499
"SAWARIYA SILVER (SILVER)","HAEMOGRAM (CBC+ESR), Liver Function Test  with GGT(LFT_GGT), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE , THYROID PROFILE, BLOOD GLUCOSE RANDOM, HBA1C, IRON",1999
"SAWARIYA GOLD (GOLD)","HAEMOGRAM (CBC+ESR), Liver Function Test  with GGT(LFT_GGT), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE , THYROID PROFILE, BLOOD GLUCOSE RANDOM, HBA1C, IRON, EGFR (ESTIMATED GLOMERULAR FILTRATION RATE), LIPASE, AMYLASE, VITAMIN B12,  Vitamin D3",3599
"SAWARIYA PLATINIUM (PLATINIUM)","HAEMOGRAM (CBC+ESR), Liver Function Test  with GGT(LFT_GGT), KIDNEY FUNCTION TEST e (KFTe), LIPID PROFILE , THYROID PROFILE, BLOOD GLUCOSE RANDOM, HBA1C, IRON, EGFR (ESTIMATED GLOMERULAR FILTRATION RATE), LIPASE, AMYLASE, VITAMIN B12,  Vitamin D3, CRP QUANTITATIVE, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE",3999
"NIVA BUPA_NIVA PACKAGE Less than 35 Age (BUPA_Less than 35 Age)","CHOLESTEROL-LDL, CHOLESTEROL -TOTAL, COMPLETE BLOOD COUNT (CBC), URINE EXAMINATION ROUTINE, BLOOD GLUCOSE RANDOM",250
"NIVA BUPA_NIVA PACKAGE (36-50) Age (NIVA PACKAGE (36-50) Age)","CHOLESTEROL-LDL, CHOLESTEROL -TOTAL, COMPLETE BLOOD COUNT (CBC), URINE EXAMINATION ROUTINE, CREATININE, HBA1C, BLOOD UREA NITROGEN (BUN)",350
"NIVA BUPA_NIVA PACKAGE Greater than 50 Age (BUPA_NIVA PACKAGE Greater than 50 Age)","COMPLETE BLOOD COUNT (CBC), URINE EXAMINATION ROUTINE, HBA1C, BLOOD UREA NITROGEN (BUN), ERYTHROCYTE SEDIMENTATION RATE (ESR), Kidney Function Test (KFT), LIPID PROFILE ",350
"NIVA BUPA_PACKAGE 1 (BUPA_PACKAGE 1)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, CHOLESTEROL -TOTAL, CREATININE",200
"NIVA BUPA_PACKAGE 4 (BUPA_PACKAGE 4)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, CREATININE, LIPID PROFILE , X Ray Chest PA View",300
"NIVA BUPA_PACKAGE Extended Check-up (BUPA_PACKAGE Extended Check-up)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, LIPID PROFILE , X Ray Chest PA View, Ultrasound Whole Abdomen,  Vitamin D3, ECG, ERYTHROCYTE SEDIMENTATION RATE (ESR), HBA1C, LIVER FUNCTION TEST (LFT), KIDNEY FUNCTION TEST e (KFTe), THYROID STIMULATING HORMONE (TSH)",2900
"NIVA BUPA_PACKAGE 2 (BUPA_PACKAGE 2)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, CHOLESTEROL -TOTAL, CREATININE, URINE EXAMINATION ROUTINE, THYROID STIMULATING HORMONE (TSH),  Vitamin D3, URIC ACID -  SERUM, SGOT/SGPT Ratio",390
"NIVA BUPA_PACKAGE 5 (BUPA_PACKAGE 5)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, CHOLESTEROL -TOTAL, CREATININE, URINE EXAMINATION ROUTINE, THYROID STIMULATING HORMONE (TSH),  Vitamin D3, SGOT/SGPT Ratio, ECG, HBA1C, Ultrasound Whole Abdomen, X Ray Chest PA View",450
"NIVA BUPA_PACKAGE Vitality B Check-up (BUPA_PACKAGE Vitality B Check-up)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, CHOLESTEROL -TOTAL, CREATININE, URINE EXAMINATION ROUTINE, THYROID STIMULATING HORMONE (TSH), ECG, HBA1C, X Ray Chest PA View, SGPT/ALT (ALANINE AMINO-TRANSFERASE), SGOT/AST (ASPARTATE AMINO-TRANSFERASE)",1200
"NIVA BUPA_PACKAGE 3 (BUPA_PACKAGE 3)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, URINE EXAMINATION ROUTINE, THYROID STIMULATING HORMONE (TSH),  Vitamin D3, ERYTHROCYTE SEDIMENTATION RATE (ESR), HBA1C, Kidney Function Test (KFT), LIPID PROFILE , LIVER FUNCTION TEST (LFT)",600
"NIVA BUPA_PACKAGE 7A (BUPA_PACKAGE 7A)","COMPLETE BLOOD COUNT (CBC), BLOOD GLUCOSE FASTING, URINE EXAMINATION ROUTINE,  Vitamin D3, ERYTHROCYTE SEDIMENTATION RATE (ESR), HBA1C, LIPID PROFILE , LIVER FUNCTION TEST (LFT), ECG, BLOOD GLUCOSE PP, KIDNEY FUNCTION TEST e (KFTe), BUN/CREATININE RATIO, THYROID PROFILE, 2D ECHO, Ultrasound Whole Abdomen, X Ray Chest PA View",1500
"Male GH Profile (mGHP1)","Luteinizing Hormone (LH) - Male, Follicle Stimulating Hormone (FSH) - Male, Estradiol (E2) - Male, Prolactin (PRL) - Male, Total Testosterone - Male, Free Testosterone - Male, Growth Hormone (GH) - Male",4499
"fe HORMONE HEALTH PROFILE  (fH001)","LIPID PROFILE ,  Vitamin D3, VITAMIN B12, Free Testosterone - Female, Total Testosterone - Female",2799
"HORMONES  Health PROFILE  (H001)","LIPID PROFILE ,  Vitamin D3, VITAMIN B12, Total Testosterone - Male, Free Testosterone - Male",2799
"Female GH Profile (fGHP)","Luteinizing Hormone (LH) - Female, Follicle Stimulating Hormone (FSH) - Female, Prolactin (PRL) - Female, Estradiol (E2) - Female, Growth Hormone (GH) - Female, Free Testosterone - Female, Total Testosterone - Female",4499
"PCOD PROFILE  (PCODP)","Luteinizing Hormone (LH) - Female, Follicle Stimulating Hormone (FSH) - Female, Prolactin (PRL) - Female, Estradiol (E2) - Female, Total Testosterone - Female",3200
"MALE FERITILITY  (MF11)","Luteinizing Hormone (LH) - Male, Follicle Stimulating Hormone (FSH) - Male, Free Testosterone - Male, Total Testosterone - Male, VITAMIN B12,  Vitamin D3, LIPID PROFILE , Prolactin (PRL) - Male",3550
"HORMONE JUNIOR (HJ01)","Luteinizing Hormone (LH) - Male, Follicle Stimulating Hormone (FSH) - Male, PROLACTIN(PRL), Free Testosterone - Male, Total Testosterone - Male, Estradiol (E2) - Male, GROWTH HORMONE (GH)",3300
"SWASTHYA SATHI 1.1 (SH11)","COMPLETE BLOOD COUNT (CBC), ERYTHROCYTE SEDIMENTATION RATE (ESR), LIPID PROFILE , Renal Function Test, CALCIUM, LIVER FUNCTION TEST (LFT), THYROID STIMULATING HORMONE (TSH), URINE EXAMINATION ROUTINE",1200
"SWASTHYA SATHI 1.2 (SH12)","COMPLETE BLOOD COUNT (CBC), ERYTHROCYTE SEDIMENTATION RATE (ESR), HBA1C, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE, Renal Function Test, CALCIUM, URINE EXAMINATION ROUTINE, SERUM IRON",1900
"SWASTHYA SATHI  1.3 (SH13)","HAEMOGRAM (CBC+ESR), HBA1C, BLOOD GLUCOSE FASTING, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE,  Vitamin D3, VITAMIN B12, Renal Function Test, CALCIUM, URINE EXAMINATION ROUTINE, SERUM IRON",2400
"SWASTHYA SATHI  1.4 (SH14)","HAEMOGRAM (CBC+ESR), BLOOD GLUCOSE FASTING, HBA1C, LIVER FUNCTION TEST (LFT), LIPID PROFILE , THYROID PROFILE,  Vitamin D3, VITAMIN B12, CRP QUANTITATIVE, RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE, Renal Function Test, CALCIUM, TESTOSTERONE FREE, TESTOSTERONE TOTAL",4000
